dataset,model,scenario,portion,I_s_from_x
compas,sgd_lr,3,10,0.03187322825548615
compas,mlp_one_layer,3,10,0.013660837017585014
compas,mlp_two_layer,3,10,0.023795138199799934
compas,sgd_lr,3,20,0.04755804919526973
compas,mlp_one_layer,3,20,0.04346346762591614
compas,mlp_two_layer,3,20,0.04026376019073444
compas,sgd_lr,3,30,0.04755165967356774
compas,mlp_one_layer,3,30,0.05552285539428783
compas,mlp_two_layer,3,30,0.05408965774354985
compas,sgd_lr,3,40,0.04774199368214213
compas,mlp_one_layer,3,40,0.05479078939269982
compas,mlp_two_layer,3,40,0.053326859055687216
compas,sgd_lr,3,50,0.04587374703430946
compas,mlp_one_layer,3,50,0.05740145143747634
compas,mlp_two_layer,3,50,0.05681258895722592
compas,sgd_lr,3,60,0.04884296168731803
compas,mlp_one_layer,3,60,0.057776429163911215
compas,mlp_two_layer,3,60,0.05611559261609233
compas,sgd_lr,3,70,0.04808455277044872
compas,mlp_one_layer,3,70,0.0589146704439845
compas,mlp_two_layer,3,70,0.05900593287010228
compas,sgd_lr,3,80,0.04702760317453182
compas,mlp_one_layer,3,80,0.06215661321945016
compas,mlp_two_layer,3,80,0.06155324293681425
compas,sgd_lr,3,90,0.048335012351555184
compas,mlp_one_layer,3,90,0.06291784195505377
compas,mlp_two_layer,3,90,0.06128558365770396
compas,sgd_lr,3,100,0.047427643293218594
compas,mlp_one_layer,3,100,0.05909286486484566
compas,mlp_two_layer,3,100,0.05821922662066137
compas,sgd_lr,4,10,0.03792309397951988
compas,mlp_one_layer,4,10,-0.016637120982524876
compas,mlp_two_layer,4,10,-0.006321190285444852
compas,sgd_lr,4,20,0.04776277041094608
compas,mlp_one_layer,4,20,0.049925373149160866
compas,mlp_two_layer,4,20,0.04841846374371658
compas,sgd_lr,4,30,0.04643086458086111
compas,mlp_one_layer,4,30,0.04799694264795519
compas,mlp_two_layer,4,30,0.048069330140882674
compas,sgd_lr,4,40,0.048052246946730645
compas,mlp_one_layer,4,40,0.05255335918611071
compas,mlp_two_layer,4,40,0.05081099599723443
compas,sgd_lr,4,50,0.04823220545806325
compas,mlp_one_layer,4,50,0.05578620479337154
compas,mlp_two_layer,4,50,0.05614295615200703
compas,sgd_lr,4,60,0.048844547462496356
compas,mlp_one_layer,4,60,0.05801435906575929
compas,mlp_two_layer,4,60,0.05681593635856001
compas,sgd_lr,4,70,0.04873622715184664
compas,mlp_one_layer,4,70,0.05779210396804475
compas,mlp_two_layer,4,70,0.058676944036696904
compas,sgd_lr,4,80,0.04878626847868345
compas,mlp_one_layer,4,80,0.060572756726155655
compas,mlp_two_layer,4,80,0.058996976108134626
compas,sgd_lr,4,90,0.04832202292643524
compas,mlp_one_layer,4,90,0.06181522686496611
compas,mlp_two_layer,4,90,0.060425899769636665
compas,sgd_lr,4,100,0.0481192441160494
compas,mlp_one_layer,4,100,0.06169660728895654
compas,mlp_two_layer,4,100,0.061318167996363755
