dataset,model,pr(Y=1|S=0),DP,"t(P(S=1), DP)",I_v(X_to_S)
dutch_census,mlp_one_layer,0.93,0.1812780482330982,0.004109103388357,0.1373663353246911
dutch_census,mlp_two_layer,0.93,0.1715114112858331,0.0036780857862048,0.1397852845425355
dutch_census,sgd_lr,0.95,0.1615400699063444,0.0032626935194839,0.0792984519507817
dutch_census,mlp_one_layer,0.95,0.1872322295074205,0.0043836019807999,0.1260161034143608
dutch_census,mlp_two_layer,0.95,0.1889579711555237,0.00446482309058,0.1283343302925554
german_data,sgd_lr,0.05,0.4254394827237825,0.0199745663959106,0.4179247303108706
german_data,mlp_one_layer,0.05,0.4290765811275005,0.0203187647205372,0.8723808081373005
german_data,mlp_two_layer,0.05,0.4445342493433017,0.0218147757535601,0.8721519057547222
german_data,sgd_lr,0.0699999999999999,0.3403717922812689,0.0127693125839592,0.2767506115346403
german_data,mlp_one_layer,0.0699999999999999,0.4794908062234795,0.0253963183457405,0.8662524317075305
german_data,mlp_two_layer,0.0699999999999999,0.4643362295413215,0.023809799137322,0.8370601601190998
german_data,sgd_lr,0.0899999999999999,0.3648211759951505,0.0146745052558963,0.4272989697520653
german_data,mlp_one_layer,0.0899999999999999,0.2493433016771064,0.0068456064153346,0.9004405998921156
german_data,mlp_two_layer,0.0899999999999999,0.4209941402303495,0.01955791386853,0.8817632544134759
german_data,sgd_lr,0.1099999999999999,0.4712063043038998,0.0245225992933053,0.4357812026715492
german_data,mlp_one_layer,0.1099999999999999,0.2449989896948878,0.006608872675255,0.9080766099330976
german_data,mlp_two_layer,0.1099999999999999,0.2499494847443927,0.0068789713849791,0.8902024732194892
german_data,sgd_lr,0.13,0.3762376237623762,0.0156098265684111,0.3703215393645182
german_data,mlp_one_layer,0.13,0.3245100020206102,0.0116045740809484,0.7762850185037832
german_data,mlp_two_layer,0.13,0.2418670438472419,0.0064407970423673,0.9027227529117215
german_data,sgd_lr,0.15,0.4121034552434836,0.0187379146633194,0.4413646641795022
german_data,mlp_one_layer,0.15,0.3081430592038796,0.0104614554361943,0.8991213302954657
german_data,mlp_two_layer,0.15,0.3956354819155384,0.0172658726619183,0.8525424522032993
german_data,sgd_lr,0.17,0.31713477470196,0.0110820878046484,0.3661429591572705
german_data,mlp_one_layer,0.17,0.1491210345524348,0.0024466137913756,0.9071130589269536
german_data,mlp_two_layer,0.17,0.2236815518286523,0.0055077821531127,0.6249340506050413
german_data,sgd_lr,0.1899999999999999,0.4034148312790462,0.0179536805642137,0.485622027722218
german_data,mlp_one_layer,0.1899999999999999,0.3813901798343099,0.0160415035956769,0.8245166943229966
german_data,mlp_two_layer,0.1899999999999999,0.2864214992927865,0.0090363234979327,0.904645673164271
german_data,sgd_lr,0.2099999999999999,0.4325116185087896,0.0206465697027435,0.363590033749177
german_data,mlp_one_layer,0.2099999999999999,0.127500505152556,0.0017883900813988,0.0403577340803789
german_data,mlp_two_layer,0.2099999999999999,0.225197009496868,0.0055827382340199,0.8520968106352551
